category,subcategory,model_name,model_id
graph,default,o3,o3-mini-2025-01-31
graph,default,LLAMA_3_3_70B,llama-3.3-70b-versatile
graph,default,DEEPSEEK_REASONER,deepseek-reasoner
graph,default,GEMINI_2_0_FLASH,gemini-2.0-flash
graph,default,CLAUDE_3_OPUS,claude-3-opus-20240229
graph,default,CLAUDE_3_5_SONNET,claude-3-5-sonnet-20241022
graph,default,LLAMA_3_70B,llama3-70b-8192
graph,default,o1,o1-2024-12-17
graph,default,GPT_4o,gpt-4o-2024-11-20
graph,default,GEMINI_1_5_PRO,gemini-1.5-pro-002
memo,default,o1,o1-2024-12-17
memo,default,CLAUDE_3_7_SONNET,claude-3-7-sonnet-20250219
memo,default,o3_MINI,o3-mini-2025-01-31
memo,default,CLAUDE_3_5_SONNETv2,claude-3-5-sonnet-20241022
memo,default,DEEPSEEK_REASONER,deepseek-reasoner
memo,default,GEMINI_2_5_PRO,gemini-2.5-pro-preview-03-25
memo,default,CLAUDE_3_5_HAIKU,claude-3-5-haiku-20241022
memo,default,GEMINI_2_0_FLASH,gemini-2.0-flash
memo,default,CLAUDE_3_OPUS,claude-3-opus-20240229
memo,default,LLAMA_3_70B,llama3-70b-8192
memo,default,GEMINI_1_5_PRO,gemini-1.5-pro-002
memo,default,GPT_4o,gpt-4o-2024-11-20
memo,default,LLAMA_3_3_70B,llama-3.3-70b-versatile
memo,default,QWEN_2_72B_INSTRUCT,qwen2-72b-instruct
chat,preferred,CLAUDE_3_5_SONNETv2,claude-3-5-sonnet-20241022
chat,preferred,DEEPSEEK_CHAT,deepseek-chat
chat,preferred,GEMINI_1_5_PRO,gemini-1.5-pro-002
chat,preferred,GEMINI_2_0_FLASH,gemini-2.0-flash
chat,preferred,GPT_4o,gpt-4o-2024-11-20
chat,preferred,o1,o1-2024-12-17
chat,preferred,o3_MINI,o3-mini-2025-01-31
chat,preferred,LLAMA_3_70B,llama3-70b-8192
chat,preferred,LLAMA_3_3_70B,llama-3.3-70b-versatile
chat,preferred,CLAUDE_3_7_SONNET,claude-3-7-sonnet-20250219
chat,preferred,GEMINI_2_5_PRO,gemini-2.5-pro-preview-03-25
chat,others,GEMINI_1_5_FLASH,gemini-1.5-flash-002
chat,others,QWEN_2_72B,qwen2-72b
chat,others,CLAUDE_3_5_HAIKU,claude-3-5-haiku-20241022
chat,others,DEEPSEEK_R1_QWEN_32B,deepseek-r1-qwen-32b
chat,others,o1_MINI,o1-mini-2024-09-12
chat,others,GPT_4o_MINI,gpt-4o-mini-2024-07-18
